UID,City,Zip,Lat,Long,Price,Crime Rate,Rent Price ,School Ranking ,Housing Growth,HOA
111,18,90396,34.0794828,-118.1368565," 57,636,557 ",50%,4134,7,82.0720%,1380
112,9,90479,34.0980299,-118.158256," 76,128,103 ",46%,4546,10,38.1327%,885
113,20,90419,34.0815301,-118.1182793," 1,812,749 ",93%,2054,9,44.1581%,401
114,11,90258,34.1033164,-118.1124958," 58,260,302 ",16%,2467,2,14.6229%,1380
115,13,90114,34.1090026,-118.1276646," 58,306,045 ",77%,1605,8,38.1434%,105
116,20,90142,34.0816486,-118.1381818," 820,709 ",95%,4417,5,44.8467%,18
117,6,90580,34.0640584,-118.113865," 60,191,560 ",27%,3556,5,63.0157%,545
118,14,90091,34.0872228,-118.1335331," 61,247,430 ",61%,360,10,93.0780%,337
119,6,90192,34.0601151,-118.1227142," 95,577,820 ",54%,2908,1,48.7495%,319
120,17,90741,34.0913004,-118.1269426," 88,907,290 ",90%,2480,9,5.2988%,1233
121,1,90607,34.0785554,-118.1139256," 89,293,059 ",29%,4181,10,35.8261%,507
122,4,90702,34.0893458,-118.1111598," 35,311,931 ",58%,3484,1,55.7960%,1385
123,8,90612,34.0744815,-118.1156012," 9,998,909 ",82%,3613,1,86.0061%,62
124,12,90264,34.0605136,-118.1145966," 7,664,350 ",47%,621,10,92.9241%,681
125,14,90428,34.0871336,-118.1468619," 61,445,947 ",31%,2618,5,92.5089%,815
126,15,90382,34.0633898,-118.1570127," 93,753,022 ",47%,4598,6,65.7912%,337
127,11,90622,34.0688842,-118.1322033," 21,338,459 ",59%,4355,6,43.1521%,1344
128,17,90634,34.0757169,-118.1568612," 61,474,812 ",81%,4275,5,63.6447%,0
129,10,90047,34.095115,-118.1389972," 30,673,902 ",88%,1400,5,22.9707%,36
130,18,90044,34.0709417,-118.119267," 33,932,029 ",4%,4582,10,77.3553%,914
131,13,90306,34.0963618,-118.1234637," 5,264,342 ",46%,2893,10,19.2456%,1187
132,7,90230,34.0992893,-118.1327008," 9,859,255 ",94%,2625,6,42.4611%,80
133,6,90293,34.0815834,-118.1415453," 21,828,767 ",27%,3364,3,55.1045%,471
134,6,90327,34.1061857,-118.120114," 68,400,152 ",89%,2862,4,13.7120%,806
135,6,90130,34.0974117,-118.1626626," 69,730,712 ",13%,4762,7,69.6371%,1291
136,15,90522,34.077963,-118.1552419," 39,282,394 ",39%,2453,3,18.2880%,1110
137,6,90264,34.070511,-118.1397801," 14,110,465 ",68%,4400,2,84.2262%,307
138,2,90181,34.0690193,-118.1359914," 80,922,921 ",50%,2932,10,18.9587%,519
139,6,90768,34.0813451,-118.1347977," 19,814,474 ",61%,3312,1,81.7060%,40
140,2,90711,34.076991,-118.1414835," 44,764,939 ",39%,568,8,92.2256%,1308
141,19,90691,34.0701229,-118.1579772," 8,034,867 ",44%,4816,3,56.4496%,279
142,8,90005,34.0984825,-118.1098983," 77,895,572 ",54%,2716,8,41.8544%,5
143,20,90170,34.078029,-118.1272348," 74,511,011 ",78%,1216,4,37.5321%,692
144,4,90191,34.1004984,-118.1305833," 6,745,387 ",49%,2147,8,65.4830%,1400
145,10,90431,34.0852647,-118.124596," 57,163,194 ",15%,1463,2,59.3725%,1259
146,6,90486,34.1085366,-118.1595587," 97,518,573 ",18%,477,4,83.8761%,1317
147,7,90172,34.0655987,-118.1474955," 12,084,102 ",73%,3564,9,11.4501%,980
148,2,90028,34.1061822,-118.1567392," 97,981,027 ",65%,738,7,13.0315%,91
149,16,90005,34.1022362,-118.1530286," 91,716,886 ",94%,2738,7,25.5605%,1085
150,11,90084,34.0760853,-118.1616674," 18,664,969 ",64%,2234,5,45.6623%,1370
151,14,90617,34.0818895,-118.1637714," 74,448,806 ",68%,1683,5,30.7206%,1139
152,14,90588,34.0843436,-118.1416398," 36,798,207 ",36%,1541,2,53.8542%,1245
153,8,90310,34.1060209,-118.1554433," 31,030,505 ",52%,3265,10,38.6737%,347
154,9,90841,34.0638284,-118.1308844," 39,946,040 ",59%,2020,6,75.2286%,1360
155,10,90574,34.0832132,-118.1510525," 16,847,190 ",57%,2539,8,25.8098%,777
156,2,90429,34.0819542,-118.1327624," 42,666,042 ",11%,2901,1,51.1940%,43
157,12,90168,34.103068,-118.1231697," 9,593,474 ",48%,4733,2,9.1454%,1103
158,3,90619,34.0998648,-118.1468955," 11,887,111 ",27%,3334,5,25.9874%,440
159,18,90719,34.0779512,-118.1252252," 33,335,822 ",97%,1032,4,39.4785%,1402
160,5,90771,34.0779805,-118.1446621," 20,970,842 ",37%,936,3,96.9113%,1050
161,3,90277,34.0812749,-118.1490515," 22,707,862 ",50%,2568,7,97.7454%,1440
162,11,90132,34.1075118,-118.1090538," 39,708,827 ",96%,1540,2,21.5074%,1279
163,6,90276,34.0667035,-118.1083545," 69,226,942 ",53%,4104,3,89.6478%,1424
164,18,90056,34.0677728,-118.1222694," 29,998,963 ",53%,2648,3,83.1123%,605
165,18,90694,34.0624381,-118.1486809," 2,318,312 ",95%,1484,10,71.8413%,547
166,17,90486,34.1029043,-118.1376519," 78,418,619 ",34%,313,8,59.6906%,393
167,10,90523,34.095497,-118.1554279," 35,218,004 ",95%,805,6,43.3950%,1327
168,16,90500,34.063369,-118.1089287," 53,868,228 ",10%,4321,4,41.0562%,594
169,4,90260,34.0936484,-118.1467968," 28,715,300 ",25%,4476,7,40.1279%,485
170,5,90559,34.0873977,-118.1455474," 45,427,928 ",9%,1397,10,88.7341%,386
171,14,90232,34.1088469,-118.115683," 77,674,910 ",50%,659,4,78.2597%,17
172,8,90402,34.0791126,-118.1203072," 33,732,281 ",23%,4108,7,58.6393%,17
173,4,90148,34.0621616,-118.1136583," 52,773,308 ",96%,3415,8,68.5835%,255
174,6,90540,34.1006266,-118.1267066," 82,876,627 ",69%,1104,3,54.1718%,820
175,18,90628,34.0948472,-118.1467327," 27,701,132 ",27%,1261,5,41.9465%,16
176,1,90330,34.0630437,-118.1149686," 31,457,537 ",23%,967,8,55.1901%,549
177,13,90581,34.1025668,-118.1205754," 76,518,095 ",60%,1314,10,29.8285%,80
178,14,90234,34.104356,-118.1379754," 74,096,539 ",96%,2140,8,25.6875%,1201
179,11,90682,34.1016635,-118.147271," 73,098,269 ",1%,129,5,0.6170%,900
180,18,90833,34.1045856,-118.1287321," 13,166,740 ",46%,3557,10,11.8770%,394
181,3,90896,34.0796901,-118.1590943," 69,687,209 ",67%,4116,10,43.7732%,601
182,19,90675,34.1007978,-118.1622966," 86,618,224 ",58%,4995,7,10.5567%,1229
183,14,90419,34.0652795,-118.1320873," 46,354,971 ",51%,1227,4,2.6315%,723
184,5,90494,34.1063511,-118.12065," 75,376,355 ",52%,3668,8,90.7241%,1295
185,9,90541,34.0993493,-118.1392783," 37,198,348 ",54%,4816,10,74.1880%,1389
186,10,90254,34.1049422,-118.1274553," 19,891,039 ",13%,3715,8,41.4731%,642
187,6,90461,34.085574,-118.1513728," 74,794,117 ",41%,423,1,17.5449%,709
188,6,90302,34.1107264,-118.1307605," 84,625,556 ",73%,4161,8,39.2527%,512
189,20,90833,34.0737086,-118.1151518," 84,406,532 ",19%,292,1,12.5324%,634
190,6,90260,34.0932808,-118.1146564," 72,841,473 ",52%,923,2,50.1939%,1229
191,10,90266,34.0942314,-118.1395672," 83,017,755 ",78%,3944,10,18.6722%,911
192,15,90449,34.0812628,-118.1178114," 51,445,163 ",96%,2832,7,94.2960%,641
193,20,90066,34.0817834,-118.1531968," 32,034,714 ",8%,3322,10,23.1493%,1166
194,10,90121,34.1043535,-118.1560695," 17,197,537 ",72%,2789,3,1.0123%,1405
195,2,90512,34.0704459,-118.1403707," 72,595,495 ",88%,2882,5,43.6377%,41
196,2,90089,34.0621015,-118.1352081," 8,618,435 ",81%,828,3,77.1013%,125
197,6,90311,34.1084816,-118.1350157," 80,030,045 ",77%,440,6,18.8098%,466
198,14,90746,34.0949417,-118.1614235," 43,344,307 ",50%,2187,4,39.5757%,1071
199,19,90487,34.0751545,-118.1406876," 11,650,179 ",51%,4791,1,58.2244%,354
200,12,90540,34.0813998,-118.1398001," 47,973,262 ",78%,2386,8,71.1300%,347
201,14,90502,34.0832148,-118.1441174," 95,012,590 ",24%,3189,4,67.5154%,1357
202,16,90340,34.1092488,-118.1334929," 7,532,601 ",42%,1128,4,57.8884%,646
203,4,90247,34.0929581,-118.1472589," 59,444,529 ",0%,3333,6,97.6605%,1138
204,4,90136,34.095828,-118.1560198," 43,962,893 ",36%,1952,8,72.0596%,725
205,16,90178,34.0865878,-118.1101125," 7,943,212 ",31%,4552,1,0.1392%,1377
206,4,90557,34.0911039,-118.1470976," 32,466,766 ",98%,2119,4,33.9372%,850
207,12,90467,34.0903918,-118.1131319," 88,386,246 ",38%,73,8,97.2636%,841
208,11,90125,34.1000136,-118.1088018," 65,150,283 ",14%,1699,8,19.9562%,197
209,20,90819,34.0730472,-118.1428765," 68,581,685 ",61%,3303,4,79.0168%,841
210,14,90127,34.0792288,-118.1269375," 96,165,303 ",47%,1518,6,80.5669%,916
211,13,90231,34.0770588,-118.1191204," 86,703,269 ",3%,4198,9,84.6694%,580
212,4,90547,34.0712742,-118.1138498," 91,135,180 ",76%,1093,3,31.8894%,499
213,3,90574,34.0759014,-118.1387627," 64,435,363 ",13%,1211,1,56.5836%,716
214,18,90623,34.0768045,-118.1294507," 74,106,562 ",45%,1765,2,65.2791%,45
215,7,90345,34.0984292,-118.1589535," 59,786,627 ",49%,3798,7,94.0225%,1391
216,9,90064,34.0953684,-118.1341312," 46,671,796 ",70%,1111,9,74.4950%,1013
217,5,90164,34.1004818,-118.1340486," 58,938,326 ",48%,4555,9,12.2774%,1145
218,3,90818,34.1065473,-118.1440202," 95,698,641 ",42%,4400,1,69.2043%,378
219,7,90766,34.0630689,-118.1239447," 70,052,996 ",74%,3632,6,82.9681%,608
220,4,90688,34.103955,-118.16293," 7,339,196 ",42%,957,2,2.1412%,745
221,13,90129,34.0814844,-118.1308001," 44,455,522 ",58%,1755,9,34.6063%,919
222,19,90724,34.0783729,-118.1159909," 26,479,208 ",76%,1281,5,5.9916%,267
223,3,90063,34.0815484,-118.1167993," 74,523,412 ",87%,2912,5,7.1851%,251
224,19,90577,34.072691,-118.1406044," 95,563,642 ",35%,2611,4,37.8648%,1337
225,10,90110,34.0747284,-118.1343576," 98,525,088 ",100%,4299,5,14.0541%,329
226,15,90885,34.1067082,-118.1422627," 78,862,192 ",92%,901,10,55.9348%,896
227,8,90011,34.0847457,-118.1115878," 619,013 ",78%,3046,7,16.2477%,291
228,8,90355,34.0950718,-118.1492573," 41,510,459 ",53%,4633,8,84.5115%,1439
229,3,90067,34.0976576,-118.1568179," 8,262,525 ",53%,1473,7,25.2099%,185
230,19,90021,34.0999472,-118.1171707," 79,344,567 ",37%,3654,3,12.0433%,68
231,3,90245,34.0813661,-118.1104029," 49,540,477 ",11%,1359,8,20.5624%,1452
232,18,90822,34.0827158,-118.1582266," 45,125,348 ",94%,2005,8,54.4714%,225
233,6,90419,34.1056964,-118.1248223," 96,706,271 ",63%,206,2,15.5104%,1464
234,9,90782,34.0783574,-118.1216326," 46,620,941 ",1%,1187,2,73.6073%,1274
235,15,90721,34.1015559,-118.1324739," 35,239,814 ",54%,273,4,38.9523%,706
236,18,90194,34.0645453,-118.1344267," 87,639,844 ",13%,1742,10,13.7472%,734
237,15,90097,34.0819202,-118.1458641," 33,273,281 ",82%,2621,8,6.8867%,1367
238,5,90576,34.1082754,-118.1087017," 92,092,623 ",63%,196,1,36.0746%,1358
239,1,90600,34.1017972,-118.1231517," 85,934,821 ",20%,3569,10,43.3675%,541
240,7,90861,34.0653148,-118.1449964," 233,722 ",75%,3382,5,63.2625%,1475
241,8,90067,34.1087945,-118.1443417," 44,335,770 ",79%,2766,8,70.5558%,1204
242,12,90658,34.0948314,-118.1487513," 32,149,136 ",54%,2577,6,86.2506%,780
243,3,90153,34.0836951,-118.149924," 60,658,411 ",37%,2891,6,11.5298%,924
244,17,90441,34.0720836,-118.1546296," 65,620,015 ",77%,91,4,97.5959%,1441
245,17,90842,34.0891455,-118.1269868," 25,985,116 ",33%,1801,4,86.7198%,1041
246,16,90499,34.0790723,-118.1218456," 92,705,786 ",13%,3698,8,56.7304%,1104
247,1,90104,34.0806133,-118.1307486," 87,343,726 ",3%,26,10,16.9395%,1119
248,5,90756,34.0877964,-118.1391396," 88,090,490 ",81%,4671,5,90.3537%,1458
249,6,90709,34.1049024,-118.1498747," 72,032,037 ",59%,386,2,20.1021%,527
250,2,90809,34.0924054,-118.1398803," 94,559,589 ",91%,2549,9,15.9305%,1487
251,15,90652,34.0801219,-118.1514986," 25,407,474 ",64%,3535,5,32.9854%,1001
252,17,90138,34.0897627,-118.1443603," 67,146,347 ",88%,704,4,25.8039%,1283
253,18,90043,34.1061235,-118.1500341," 86,375,076 ",34%,3058,7,6.0456%,604
254,15,90191,34.080432,-118.1106173," 45,167,782 ",21%,983,10,82.9869%,546
255,8,90487,34.0687494,-118.12776," 4,040,822 ",54%,512,5,2.1086%,1158
256,4,90262,34.076187,-118.1107473," 43,386,598 ",9%,1210,5,17.6417%,1355
257,14,90666,34.1091567,-118.1543483," 26,966,954 ",96%,2361,10,26.5764%,764
258,5,90121,34.0727637,-118.1644464," 87,404,771 ",63%,255,8,41.2442%,81
259,9,90109,34.1097865,-118.1480914," 89,555,635 ",87%,4786,10,14.0292%,1381
260,20,90438,34.0941821,-118.1375149," 6,542,011 ",69%,556,10,44.2208%,948
261,19,90185,34.0971584,-118.1442937," 90,760,259 ",66%,4078,7,84.4256%,756
262,4,90127,34.0729847,-118.1083012," 2,444,522 ",5%,64,9,9.0012%,576
263,19,90212,34.1000167,-118.1595," 48,912,404 ",94%,4523,7,44.1159%,506
264,13,90210,34.0655927,-118.1383346," 2,616,085 ",20%,2152,1,62.1823%,146
265,19,90734,34.0818373,-118.1209249," 85,814,823 ",2%,4151,10,38.1229%,292
266,10,90870,34.091293,-118.1618294," 35,668,358 ",6%,4688,1,5.3372%,1373
267,18,90233,34.0634995,-118.1205789," 21,444,784 ",39%,3236,2,15.4084%,999
268,17,90057,34.0781599,-118.1377907," 38,026,951 ",17%,3652,2,45.4070%,1287
269,18,90286,34.0614274,-118.1145649," 59,797,504 ",99%,1545,6,81.0934%,931
270,13,90747,34.0761244,-118.1273573," 85,078,137 ",75%,3601,2,91.9184%,187
271,6,90489,34.0636161,-118.1209774," 65,246,271 ",83%,939,9,48.2760%,52
272,19,90681,34.0620551,-118.1137384," 95,898,653 ",60%,2106,6,42.2390%,1113
273,15,90547,34.1046672,-118.1483567," 69,407,180 ",31%,2552,10,21.2381%,503
274,11,90341,34.1065517,-118.1614058," 44,174,999 ",9%,4238,7,62.3955%,652
275,7,90556,34.0974541,-118.1597054," 83,773,061 ",26%,3062,5,9.3536%,36
276,18,90607,34.0701086,-118.1425926," 29,465,772 ",91%,2442,4,11.5046%,491
277,5,90394,34.1109531,-118.1251924," 50,383,694 ",20%,2001,2,45.1258%,194
278,20,90761,34.0762691,-118.1467078," 69,241,418 ",79%,3792,4,82.3121%,144
279,20,90554,34.0842648,-118.140426," 54,772,584 ",61%,1508,5,28.5414%,1190
280,13,90493,34.0752438,-118.1343566," 75,877,363 ",80%,2692,8,16.2439%,1076
281,4,90065,34.0882055,-118.1378374," 38,761,632 ",3%,1073,1,52.7060%,646
282,2,90090,34.0833726,-118.1386142," 12,741,304 ",13%,2992,10,59.2917%,1334
283,5,90015,34.0854458,-118.1502009," 21,511,598 ",25%,3752,9,39.4979%,1327
284,14,90812,34.0940854,-118.163299," 49,847,101 ",93%,2106,4,37.7853%,1021
285,4,90693,34.0741725,-118.1214107," 25,627,217 ",82%,577,6,76.2907%,1397
286,16,90592,34.0772063,-118.1546371," 36,509,883 ",28%,1860,8,23.7823%,526
287,12,90533,34.1085162,-118.1509345," 22,369,338 ",29%,1156,10,43.6584%,657
288,13,90882,34.1076761,-118.1595667," 51,821,031 ",48%,2249,5,12.2246%,707
289,19,90174,34.1070833,-118.1191396," 77,070,861 ",28%,4162,2,45.4417%,629
290,10,90673,34.0888853,-118.1627514," 73,813,996 ",77%,3643,5,69.1009%,1084
291,16,90129,34.109125,-118.1341425," 50,491,352 ",72%,552,5,92.3739%,747
292,5,90241,34.0885914,-118.1497553," 87,471,281 ",50%,2823,2,75.9147%,929
293,16,90625,34.0830715,-118.1509757," 19,947,935 ",46%,3111,9,8.2938%,246
294,13,90376,34.0707928,-118.1333851," 67,125,421 ",9%,3283,3,4.1531%,1023
295,3,90659,34.0864119,-118.1573684," 32,705,766 ",78%,1668,5,23.5488%,627
296,9,90466,34.0975005,-118.1602566," 27,965,147 ",21%,250,1,46.1705%,972
297,3,90250,34.1028405,-118.153913," 25,926,260 ",9%,3346,9,1.3831%,720
298,6,90820,34.0987243,-118.1319437," 66,083,623 ",94%,4427,8,36.6949%,168
299,19,90765,34.0962864,-118.1296895," 46,656,722 ",88%,3750,6,14.2701%,660
300,10,90338,34.0673049,-118.1223771," 83,335,106 ",35%,1202,1,56.3172%,807
301,10,90747,34.0673251,-118.140144," 91,099,526 ",36%,11,5,50.4923%,412
302,10,90468,34.0634642,-118.115146," 89,087,008 ",75%,1836,8,26.4197%,1279
303,12,90058,34.0897747,-118.1491957," 24,160,893 ",96%,566,8,73.4541%,752
304,10,90159,34.1107488,-118.1373841," 9,173,994 ",28%,3747,6,16.7222%,18
305,2,90899,34.0686837,-118.161299," 21,081,771 ",97%,4531,3,67.1065%,886
306,3,90019,34.0958738,-118.1117034," 3,193,269 ",68%,2881,1,15.6370%,117
307,15,90295,34.0814453,-118.1163056," 18,853,446 ",66%,1075,10,52.1171%,698
308,18,90523,34.0752676,-118.1243229," 24,668,116 ",81%,3511,10,78.2769%,99
309,3,90149,34.1059165,-118.1281559," 20,678,450 ",90%,2253,10,55.6183%,1226
310,17,90152,34.0995309,-118.1171489," 8,244,872 ",64%,3337,10,64.9025%,1079
311,13,90432,34.0814255,-118.1613535," 76,958,032 ",69%,790,5,57.0991%,565
